epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4311.57,1.43805,0.83019,1.08814,0.70081,0.64356,0.67069,0.38105,1.66523,0.96804,1.21188,0.000288718,0.000288718,0.000288718
68,4376.21,1.42887,0.82314,1.08607,0.71857,0.58874,0.66373,0.37257,1.67014,0.96774,1.20555,0.000280471,0.000280471,0.000280471
69,4440.1,1.42051,0.8119,1.07951,0.69395,0.60464,0.65825,0.37091,1.66878,0.95806,1.21988,0.000272224,0.000272224,0.000272224
70,4504.37,1.42096,0.81564,1.08489,0.72931,0.62294,0.67695,0.38259,1.67114,0.9685,1.21335,0.000263978,0.000263978,0.000263978
71,4568.34,1.41288,0.80934,1.08408,0.72036,0.63078,0.66954,0.38708,1.62801,0.97273,1.20069,0.000255731,0.000255731,0.000255731
72,4633.36,1.39987,0.79903,1.07417,0.67838,0.65128,0.6757,0.38748,1.65438,0.94996,1.20964,0.000247484,0.000247484,0.000247484
73,4697.76,1.41652,0.80031,1.07706,0.70121,0.65018,0.66496,0.38199,1.66208,0.971,1.21293,0.000239238,0.000239238,0.000239238
74,4762.1,1.39705,0.79215,1.07201,0.67366,0.67449,0.67405,0.37976,1.66221,0.96781,1.21112,0.000230991,0.000230991,0.000230991
75,4827.11,1.38404,0.77923,1.06949,0.69037,0.66297,0.68291,0.39095,1.65887,0.94228,1.21204,0.000222744,0.000222744,0.000222744
76,4892.16,1.39655,0.78294,1.0805,0.71463,0.60328,0.67224,0.3866,1.66323,0.9522,1.21257,0.000214497,0.000214497,0.000214497
77,4957.46,1.37861,0.7693,1.07098,0.72666,0.59656,0.65387,0.37289,1.70129,0.96054,1.2282,0.000206251,0.000206251,0.000206251
78,5022.49,1.37396,0.77,1.06638,0.67307,0.6357,0.66649,0.3798,1.67276,0.96166,1.21748,0.000198004,0.000198004,0.000198004
79,5086.72,1.36585,0.75215,1.06467,0.66076,0.64373,0.66633,0.38211,1.67031,0.95678,1.2202,0.000189757,0.000189757,0.000189757
80,5150.89,1.37417,0.75925,1.06363,0.693,0.62052,0.6705,0.3822,1.67121,0.95607,1.21874,0.000181511,0.000181511,0.000181511
81,5215.07,1.36594,0.74573,1.06032,0.6673,0.64815,0.6654,0.38104,1.68952,0.96638,1.22661,0.000173264,0.000173264,0.000173264
82,5279.04,1.36867,0.75826,1.06172,0.69743,0.63785,0.65531,0.37772,1.6812,0.94762,1.222,0.000165017,0.000165017,0.000165017
83,5343.57,1.34564,0.73769,1.05728,0.67797,0.64717,0.67963,0.38427,1.68931,0.9396,1.22752,0.000156771,0.000156771,0.000156771
84,5407.86,1.3454,0.73156,1.05673,0.65513,0.67696,0.67801,0.38656,1.69866,0.94056,1.2293,0.000148524,0.000148524,0.000148524
85,5472.27,1.33506,0.71718,1.05439,0.68789,0.65886,0.67415,0.38624,1.6929,0.94708,1.23115,0.000140277,0.000140277,0.000140277
86,5535.8,1.35179,0.72022,1.05106,0.69559,0.65648,0.68275,0.38714,1.70002,0.94121,1.2287,0.000132031,0.000132031,0.000132031
87,5600.36,1.34577,0.73266,1.05578,0.71986,0.62397,0.68579,0.38979,1.69431,0.93876,1.23208,0.000123784,0.000123784,0.000123784
88,5665.07,1.3278,0.71226,1.04671,0.7298,0.61279,0.67576,0.38382,1.70905,0.94885,1.23408,0.000115537,0.000115537,0.000115537
89,5729.03,1.33439,0.72235,1.05133,0.69104,0.63969,0.6762,0.38111,1.70137,0.95717,1.2342,0.00010729,0.00010729,0.00010729
